TransactionID,Items
1,Bread;Milk;Eggs
2,Bread;Diapers;Beer;Eggs
3,Milk;Diapers;Beer;Cola
4,Bread;Milk;Diapers;Beer
5,Bread;Milk;Diapers;Cola
6,Milk;Eggs
7,Bread;Milk;Diapers;Beer
8,Bread;Cola
9,Milk;Diapers;Cola
10,Bread;Milk;Diapers
11,Bread;Beer
12,Milk;Diapers;Beer
13,Bread;Milk
14,Diapers;Beer
15,Bread;Milk;Cola
16,Bread;Diapers;Beer
17,Milk;Diapers
18,Bread;Milk;Diapers;Beer
19,Bread;Eggs
20,Milk;Cola
21,Bread;Milk;Beer
22,Diapers;Cola
23,Bread;Milk;Diapers
24,Bread;Beer;Cola
25,Milk;Diapers;Beer
26,Bread;Milk;Eggs
27,Milk;Diapers;Cola
28,Bread;Milk;Diapers;Beer
29,Bread;Cola
30,Milk;Diapers;Beer
31,Chips;Salsa;Cola
32,Chips;Salsa
33,Chips;Cola
34,Chips;Salsa;Beer
35,Salsa;Cola
36,Chips;Salsa;Cola
37,Chips;Beer
38,Chips;Salsa
39,Chips;Salsa;Cola
40,Salsa;Beer
41,Pasta;TomatoSauce
42,Pasta;TomatoSauce;Bread
43,Pasta;TomatoSauce;Wine
44,Pasta;Bread
45,TomatoSauce;Wine
46,Pasta;TomatoSauce
47,Pasta;TomatoSauce;Bread
48,Pasta;Wine
49,TomatoSauce;Bread
50,Pasta;TomatoSauce;Wine
51,Coffee;Cereal;Milk
52,Coffee;Milk
53,Cereal;Milk
54,Coffee;Cereal
55,Coffee;Milk;Bread
56,Cereal;Milk;Bread
57,Coffee
58,Cereal
59,Coffee;Cereal;Milk
60,Milk;Coffee
61,Chicken;Wine
62,Chicken;Bread
63,Chicken;Wine;Bread
64,Chicken
65,Wine
66,Chicken;Wine
67,Chicken;Bread
68,Wine;Bread
69,Chicken;Wine;Bread
70,Chicken
71,Apples;Milk
72,Apples;Bread
73,Apples;Milk;Bread
74,Apples
75,Apples;Cereal
76,Apples;Milk
77,Apples;Bread
78,Apples;Milk;Cereal
79,Apples
80,Apples;Milk
81,Bread;Milk;Diapers;Beer
82,Bread;Milk;Diapers
83,Milk;Diapers;Beer
84,Bread;Milk
85,Diapers;Beer
86,Bread;Milk;Cola
87,Milk;Diapers
88,Bread;Beer
89,Milk;Beer
90,Bread;Milk;Diapers;Beer
91,Chips;Salsa;Cola
92,Pasta;TomatoSauce
93,Coffee;Milk
94,Chicken;Wine
95,Apples;Milk
96,Bread;Milk;Eggs
97,Milk;Diapers;Beer
98,Pasta;TomatoSauce;Wine
99,Chips;Salsa
100,Bread;Milk;Diapers;Beer
