InvoiceNo,12 PENCIL SMALL TUBE WOODLAND,12 PENCILS SMALL TUBE RED RETROSPOT,12 PENCILS SMALL TUBE SKULL,12 PENCILS TALL TUBE WOODLAND,3 PIECE SPACEBOY COOKIE CUTTER SET,3 RAFFIA RIBBONS 50'S CHRISTMAS,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,3 TIER CAKE TIN RED AND CREAM,3 TRADITIONAl BISCUIT CUTTERS  SET,36 DOILIES DOLLY GIRL,36 DOILIES VINTAGE CHRISTMAS,36 FOIL HEART CAKE CASES,36 FOIL STAR CAKE CASES,4 PEAR BOTANICAL DINNER CANDLES,4 VANILLA BOTANICAL CANDLES,5 HOOK HANGER MAGIC TOADSTOOL,6 GIFT TAGS 50'S CHRISTMAS,6 RIBBONS RUSTIC CHARM,60 CAKE CASES DOLLY GIRL DESIGN,60 CAKE CASES VINTAGE CHRISTMAS,60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,ABC TREASURE BOOK BOX,ADVENT CALENDAR GINGHAM SACK,AIRLINE BAG VINTAGE TOKYO 78,ASSORTED BOTTLE TOP  MAGNETS,ASSORTED COLOURS SILK FAN,BAG 250g SWIRLY MARBLES,BAKING MOULD CHOCOLATE CUPCAKES,BAKING MOULD HEART MILK CHOCOLATE,BAKING MOULD HEART WHITE CHOCOLATE,BAKING MOULD ROSE MILK CHOCOLATE,BAKING MOULD ROSE WHITE CHOCOLATE,BAKING MOULD TOFFEE CUP CHOCOLATE,BINGO SET,BLACK KITCHEN SCALES,BLACK LOVE BIRD CANDLE,BLUE HAPPY BIRTHDAY BUNTING,BLUE POLKADOT GARDEN PARASOL,BLUE POLKADOT WRAP,BLUE VINTAGE SPOT BEAKER,BOTTLE BAG RETROSPOT,BOX OF 6 CHRISTMAS CAKE DECORATIONS,BOX OF 6 MINI 50'S CRACKERS,BOX OF 6 MINI VINTAGE CRACKERS,BOYS VINTAGE TIN SEASIDE BUCKET,BUBBLEGUM RING ASSORTED,BUFFALO BILL TREASURE BOOK BOX,BUNDLE OF 3 RETRO NOTE BOOKS,CARAVAN SQUARE TISSUE BOX,CHARLOTTE BAG APPLES DESIGN,CHARLOTTE BAG PINK POLKADOT,CHILDRENS CUTLERY CIRCUS PARADE,CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS TOY COOKING UTENSIL SET,CHRISTMAS METAL POSTCARD WITH BELLS,CINNAMON SCENTED VOTIVE CANDLE,CUPCAKE LACE PAPER SET 6,DINOSAUR PARTY BAG + STICKER SET,DOILEY STORAGE TIN,EAU DE NIL LOVE BIRD CANDLE,FAIRY CAKE FLANNEL ASSORTED COLOUR,FAIRY TALE COTTAGE NIGHTLIGHT,"FEATHER PEN,HOT PINK","FEATHER PEN,LIGHT PINK",FELT FARM ANIMAL WHITE BUNNY,FELT TOADSTOOL  SMALL,FELTCRAFT DOLL ROSIE,FELTCRAFT PRINCESS CHARLOTTE DOLL,FIRST AID TIN,GENTLEMAN SHIRT REPAIR KIT,GIFT BAG BIRTHDAY,GIRLS VINTAGE TIN SEASIDE BUCKET,GRAND CHOCOLATECANDLE,GREEN METAL BOX ARMY SUPPLIES,GREEN VINTAGE SPOT BEAKER,GUMBALL COAT RACK,GYMKHANA TREASURE BOOK BOX,HAIRCLIPS FORTIES FABRIC ASSORTED,HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,HAND WARMER UNION JACK,HAPPY STENCIL CRAFT,HEART STRING MEMO HOLDER HANGING,HOMEMADE JAM SCENTED CANDLES,HYACINTH BULB T-LIGHT CANDLES,ICE CREAM BUBBLES,ICE CREAM SUNDAE LIP GLOSS,IVORY LOVE BIRD CANDLE,JAM JAR WITH GREEN LID,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,JIGSAW TOADSTOOLS 3 PIECE,JUMBO BAG ALPHABET,JUMBO BAG APPLES,JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,KIDS RAIN MAC BLUE,KIDS RAIN MAC PINK,KINGS CHOICE TEA CADDY,LARGE PURPLE BABUSHKA NOTEBOOK,LARGE RED BABUSHKA NOTEBOOK,LARGE YELLOW BABUSHKA NOTEBOOK,LIPSTICK PEN BABY PINK,LUNCH BAG APPLE DESIGN,LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,LUNCH BOX WITH CUTLERY RETROSPOT,MAGIC DRAWING SLATE CIRCUS PARADE,MAGIC DRAWING SLATE DOLLY GIRL,MAGIC DRAWING SLATE PURDEY,MINI JIGSAW CIRCUS PARADE,MINI JIGSAW DOLLY GIRL,MINI JIGSAW PURDEY,MINI JIGSAW SPACEBOY,MINI LIGHTS WOODLAND MUSHROOMS,MINI PAINT SET VINTAGE,MINI PLAYING CARDS BUFFALO BILL,MINI PLAYING CARDS DOLLY GIRL,MINI PLAYING CARDS GYMKHANA,MINI PLAYING CARDS SPACEBOY,MOBILE VINTAGE HEARTS,MONSTERS STENCIL CRAFT,MR ROBOT SOFT TOY,MULTICOLOUR HONEYCOMB PAPER GARLAND,Manual,NOEL GARLAND PAINTED ZINC,ORANGE VOTIVE CANDLE,PACK OF 12 COLOURED PENCILS,PACK OF 12 TRADITIONAL CRAYONS,PACK OF 12 WOODLAND TISSUES,PACK OF 20 NAPKINS PANTRY DESIGN,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,PAIR PADDED HANGERS PINK CHECK,PANTRY PASTRY BRUSH,PANTRY SCRUBBING BRUSH,PANTRY WASHING UP BRUSH,PAPER BUNTING PAISLEY PARK,PAPER BUNTING RETROSPOT,PAPER CHAIN KIT RETROSPOT,PARTY CONES CANDY ASSORTED,PHARMACIE FIRST AID TIN,PINK BABY BUNTING,PINK HAPPY BIRTHDAY BUNTING,PINK POLKADOT WRAP,PINK VINTAGE PAISLEY PICNIC BAG,PINK VINTAGE SPOT BEAKER,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SKULLS,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,POPPY FIELDS CHOPPING BOARD,POSTAGE,RABBIT NIGHT LIGHT,RECYCLING BAG RETROSPOT,RED  HARMONICA IN BOX,RED GINGHAM ROSE JEWELLERY BOX,RED METAL BOX TOP SECRET,RED RETROSPOT CHARLOTTE BAG,RED RETROSPOT SHOPPER BAG,RED RETROSPOT TAPE,RED SPOT PAPER GIFT BAG,RED TOADSTOOL LED NIGHT LIGHT,RED VINTAGE SPOT BEAKER,RETROSPOT CHILDRENS APRON,RETROSPOT TEA SET CERAMIC 11 PC,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND,SET 12 COLOUR PENCILS DOLLY GIRL,SET 12 COLOUR PENCILS SPACEBOY,SET 12 KIDS  WHITE CHALK STICKS,SET 12 KIDS COLOUR  CHALK STICKS,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",SET 36 COLOURING PENCILS DOILY,SET 40 HEART SHAPE PETIT FOUR CASES,SET 7 BABUSHKA NESTING BOXES,SET OF 10 LED DOLLY LIGHTS,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,SET OF 20 KIDS COOKIE CUTTERS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,SET OF 3 BABUSHKA STACKING TINS,SET OF 3 BIRD LIGHT PINK FEATHER,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 3 CAKE TINS SKETCHBOOK,SET OF 3 HANGING OWLS OLLIE BEAK,SET OF 3 NOTEBOOKS IN PARCEL,SET OF 3 REGENCY CAKE TINS,SET OF 36 DOILIES PANTRY DESIGN,SET OF 36 DOILIES SPACEBOY DESIGN,SET OF 36 TEATIME PAPER DOILIES,SET OF 4 JAM JAR MAGNETS,SET OF 4 KNICK KNACK TINS DOILEY,SET OF 4 PANTRY JELLY MOULDS,SET OF 5 PANCAKE DAY MAGNETS,SET OF 6 NATIVITY MAGNETS,SET OF 6 RIBBONS VINTAGE CHRISTMAS,SET OF 6 SNACK LOAF BAKING CASES,SET OF 6 TEA TIME BAKING CASES,SET OF 60 PANTRY DESIGN CAKE CASES,SET OF 60 VINTAGE LEAF CAKE CASES,SET OF 72 PINK HEART PAPER DOILIES,SET OF 72 RETROSPOT PAPER  DOILIES,SET OF 72 SKULL PAPER  DOILIES,SET OF 9 BLACK SKULL BALLOONS,SET OF 9 HEART SHAPED BALLOONS,SET OF TEA COFFEE SUGAR TINS PANTRY,SET/10 BLUE POLKADOT PARTY CANDLES,SET/10 PINK POLKADOT PARTY CANDLES,SET/3 RED GINGHAM ROSE STORAGE BOX,SET3 BOOK BOX GREEN GINGHAM FLOWER,SKULLS PARTY BAG + STICKER SET,SMALL STRIPES CHOCOLATE GIFT BAG,SPACEBOY GIFT WRAP,SPACEBOY ROCKET LOLLY MAKERS,SPOTTY BUNTING,STORAGE TIN VINTAGE DOILY,STORAGE TIN VINTAGE LEAF,STRAWBERRY LUNCH BOX WITH CUTLERY,SWEETHEART CAKESTAND 3 TIER,TEA BAG PLATE RED RETROSPOT,TEA TIME PARTY BUNTING,TOADSTOOL MONEY BOX,TOY TIDY DOLLY GIRL DESIGN,TOY TIDY PINK POLKADOT,TOY TIDY SPACEBOY,TREASURE ISLAND BOOK BOX,TREASURE TIN BUFFALO BILL,TREASURE TIN GYMKHANA DESIGN,VICTORIAN SEWING KIT,VINTAGE CHRISTMAS BUNTING,VINTAGE CHRISTMAS STOCKING,VINTAGE DOILY DELUXE SEWING KIT,VINTAGE HEADS AND TAILS CARD GAME,VINTAGE LEAF CHOPPING BOARD,WALL TIDY RETROSPOT,WOODEN BOX OF DOMINOES,WOODEN CROQUET GARDEN SET,WOODEN HAPPY BIRTHDAY GARLAND,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN OWLS LIGHT GARLAND,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODLAND CHARLOTTE BAG,WOODLAND SMALL RED FELT HEART,WORLD WAR 2 GLIDERS ASSTD DESIGNS,WRAP  VINTAGE DOILY,WRAP ALPHABET DESIGN,WRAP DOLLY GIRL,WRAP RED VINTAGE DOILY,ZINC WILLIE WINKIE  CANDLE STICK
538848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
540040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542428,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
546161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546530,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550277,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
551278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
