sentiment,tweet
0,"Eating a gyro for breakfast at the airport. Probly gonna have lunch at sfo too, my flights at 1140 "
1,Well .. .you fall of the 'horse' and get straight back on  Probably driving to Lincolnshire to see my bestest friend today .. great!
0,thanks for the responses but when is it really lol some say today some say tomor  r yall toyin wit me 
0,depressed.! fuuck my life! 
1,"is LMAO, just thinkin of the 80/20 rule.....wonder how she's gonna like that 20!!! Oh that makes me feel much better "
1,Going out to eat   neenahhhbabe(:
0,is saying goodbye to her momma for 4 months..  
0,@AprilMaiya I'm not! 
0,at work missin my brandi 
1,@abygurl yeah i know  i can't wait too 
0,@TraceCyrus LOL. Your so lucky that your in japan right now!!! I have school tomorrow!!!!!! LOL. I hate school!! 
1,I gotta clean my closet.......seriously...ineed a closet organizer to comehelp me!!  Anyone?  Please???  
0,"@robbiebear7 haha, ya i have a phone but ik it will cost money becasue i went on facebook... and now i have to pay the at&amp;t bill "
1,"3hours of lawnwork, swimming with the kids...time to relax and work on games for a bit...where's my smokes?  "
0,@gashiya I know. They are like 12 and know words that i've never heard of. U didn't reply to my sms 
0,"She tells me that she feels miserable, so at least it's mutual. "
0,"Awh,I won't get to see @missjeffreestar's show tomorrow,it's cancelled "
1,will be in the yearbook office all day. Come join me if you're around. 
0,Grrr twitter was down during the WHOLE Orlando/Cavs game.  No record of my excitement during the game.
0,my shoes hurt my feet 
0,stupid cocking megavideo :@ wish wixi wasnt down today 
1,@jessmpaul its because you're in first class... where aggies belong 
1,"@shailmohan: hmm well, creepie suzie and mojo jomo.... but u probably arent anyway.. so hi... wassup "
0,Anoyed my computers broke 
1,"@Leafybear The day is looking good so far, car in for repair at last and a parcel to be delivered!!! "
0,Me and my mom went to church today.. The people were staring at me.. some even laughing silently... Why are there such kind of people???  
1,@llordllama promise them some chutney if they submit their work to the LRA 
1,gonna go put my drums in my car while the new Zune is syncing 
0,"yea, i think the 3rd person thing isn't so important on here! lol. omg thanks for reminding me, I have to clean my car too..... "
1,"For those that care, the newspaper is here "
