feature,importance
has_comment,0.04675863677732115
 ',0.0355989047401358
s' ,0.034653184511052204
--,0.03055749087297376
count_--,0.027647685171843753
' ,0.02569790674150156
-- ,0.02383161200678499
s',0.023296954346324613
-,0.023280848532383977
 's,0.019077285532823517
- ,0.018305377409071146
#,0.016781562120879428
 n ,0.015991383399757732
',0.015785966970555346
's,0.014497213965389926
# ,0.013344076524977433
's',0.013321242148552547
id ,0.013286524021146653
count_#,0.012754050106008101
 --,0.012404610877348694
m ,0.012349028357715446
ec,0.012207936463114376
single_quote_count,0.011989435168711888
 se,0.011806077190058557
 #,0.011499572838519736
fro,0.011299590628910396
 id,0.011219920669317303
word_count,0.01081682987124352
 # ,0.010085109926237755
le,0.010015957626097088
l ,0.009912172031384224
sel,0.00888967023585501
om,0.008758533564052264
rom,0.008601282626364316
 -,0.008401566519523873
has_order_by,0.00830285155425609
y ,0.008228818293267768
ere,0.008060540795767188
f,0.007633758189092566
count_',0.007627350783231831
her,0.007493009267276117
 i,0.007168986954583043
ct ,0.006875423067426018
er ,0.00680988777505034
ele,0.006768711307316789
ll ,0.006458851964362432
wh,0.006335876409786044
ro,0.006211218507807379
lec,0.006183659375612422
 by,0.006161603333430347
(,0.006066443596050641
el,0.006032606708753988
),0.005815350471652321
by,0.0056341399983895445
_,0.005394460047558848
ect,0.005216443813932206
 w,0.004999478656440736
fr,0.004710058219609093
 n,0.004640959388554821
by ,0.004464525763677136
has_where,0.004348430798390656
om ,0.004324326501454093
re ,0.004086113541944573
has_select,0.003911474894300941
 f,0.003750317255667623
 ,0.003693523894311613
 wh,0.003672066990921714
h,0.0035726886354152344
e ,0.0035668185193474984
 ex,0.0034785729380619225
) ,0.0032890528279039123
 fr,0.0030928317939769717
n),0.0030247396390285283
= ,0.002933861650966976
n ,0.0029308944522315307
et ,0.002904179825737445
(',0.002890927317080139
query_length,0.0028777895831801708
('s,0.002770435684400334
set,0.002712729676033405
') ,0.002702003196680587
id,0.002693381558044229
ct,0.0026833024210466284
re,0.0026625786873607964
na,0.0024989100985382874
_id,0.0024393789713392177
ame,0.002339748742857318
(n,0.00228509553840012
der,0.002197929490618284
b,0.0021573635272256714
'),0.0020544022253146522
am,0.0020503749353618984
nu,0.0020248686091307653
_i,0.0020062643041760223
whe,0.0019895000220444266
has_sleep,0.0019418645296681786
count_=,0.0018961100049084728
 nu,0.001843044618932867
d ,0.0017911839652202945
s'),0.0017621229582603759
r_,0.0017384514450975563
er,0.001705061139854953
<,0.0017042999372920203
er_,0.0016330566911655897
>,0.0015928467538942925
n=,0.0015657559330811757
 pr,0.0015351057432495807
nam,0.0015165848674926652
(n),0.0014559864691113685
n=n,0.0014292874393638025
 n=,0.0014269143326274048
me ,0.0014233843695466322
u,0.0014188758251134832
 <,0.0014182939071884517
n,0.0014031502891672675
d,0.0013878669766474293
w,0.0013573628591167467
ul,0.0012909580165026396
 na,0.0012837064531935622
=,0.001275395671048275
ec(,0.001270221299041595
ex,0.0012656550474386013
nul,0.0012622366862234174
he,0.0012210039098873168
t,0.0012081719659403347
te,0.001207718756647336
ate,0.0011808643676511279
ll,0.0011549841861145682
ull,0.0011547140098171248
se,0.0011239965023450524
een,0.0011197488710251568
m,0.0010901309699333345
o,0.0010793367854063276
at,0.0010783513435553979
=n,0.001070867280337373
pr,0.0010701611933224982
count_<,0.0010547382947730182
fo,0.0010391590694571356
at ,0.0010334093808425156
 b,0.0010053691246961793
a,0.0009628138926595712
exe,0.0009560754035017431
_at,0.0009499274931757426
y,0.0009478647160285104
=n ,0.0009221682279893139
sle,0.0008904761813510321
for,0.0008640508133789518
=',0.0008558423272190526
 (,0.0008419915913204615
ete,0.0008178428839756264
unbalanced_quotes,0.0007973277430959116
 s,0.0007812601793638251
p(n,0.0007797853368269409
rd,0.0007739409908012792
c(,0.0007683348432181981
la,0.0007632411912240576
nse,0.0007561214216534255
r ,0.0007487596183368263
rde,0.0007403642201097166
pd,0.0007321598111157386
ea,0.000726704205425137
ema,0.000724166348510666
r_i,0.0007089206487245768
d_a,0.0007019730669000015
ern,0.0006969937951102406
(s,0.0006942915790936431
n-,0.0006805624180153895
 e,0.0006639314766529596
(se,0.0006553043486785355
ted,0.0006426540705162739
ca,0.0006424755885644619
ri,0.0006326117019710253
i,0.0006316145089822005
p,0.0006315023648747744
xe,0.0006115913007213056
 n#,0.0005901389311910465
eep,0.0005898094975586838
ta,0.0005787114389297756
 = ,0.0005527797772955212
ord,0.0005508335257241744
 >,0.0005488506617649897
tu,0.0005430787704477614
count_>,0.000542004612714645
wee,0.000528394320719875
ec ,0.0005166439814688152
te ,0.0005116532905568143
ai,0.0005006836390579693
r,0.0004977683316342088
p(,0.00046759626140181727
'--,0.0004670859850047155
n--,0.0004583651682511261
tf,0.00045826748602721576
ic,0.00045725802444577255
lay,0.00045550225584169477
", ",0.0004503737784766791
and_count,0.0004457041751213094
 st,0.00044516249767704576
in ,0.0004322332630392445
ice,0.0004305367345854584
='s,0.0004241548657618811
il,0.0004236214428212201
il ,0.0004197088341420812
